Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;
;;;;;;;
2;C2,C5;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;2;200pf;C1206C201J5GACTU;;
3;R13,R10;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;100k;;;
4;J1,J3;Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical;2;;26-60-4020;;
;;;;;;;
6;R15,R8,R12,R14,R11;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;5;68k;;;
7;R6;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;11;;;
8;RV1;Potentiometer_Bourns_3005_Horizontal;1;10;3006P-1-100LF;;
9;R9;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;68K;;;
10;D5,D6;D_MiniMELF;2;D_Zener 6.2V;TZMB6V2-GS08;;
11;R5,R4;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;49.9K;PLT1206Z5002AST5;;
;;;;;;;
13;Termination;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;NC;;;
14;RV2;Potentiometer_Bourns_3005_Horizontal;1;100K;3006P-1-104LF;;
;;;;;;;
16;U1;TO-3-8;1;PA88;;;
17;C19,C20;C_Elec_8x10.2;2;1.8u;UUB2G1R8MNL1GS;;
18;R3;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;10M;;;
19;D1,D2;D_SOD-123F;2;;DSS120U;;
20;D4,D3;D_SMA_Handsoldering;2;;SMAJ220A;;
21;R7,R1;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;160;;;
22;R2;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;5.1K;TNPU12065K10BZEN00;;
23;C3,C4;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;2;0.1u;C3216X7T2W104K160AE;;
;;;;;;;
25;C1;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;1;15pF;12067A150FAT2A;;